Name,Elevation (m),lat,lon
Col Becchei Dessora,2794,46.6077526,12.0445388
Braunarlspitze,2649,47.2294962,10.0643311
Cima Cadin di San Lucano,2839,46.5776149,12.2882724
Rollspitze - Cima Rolle,2800,46.9464887,11.5077966
Cimon del Froppa,2932,46.5073978,12.3404365
Damülser Mittagsspitze,2095,47.310367,9.883876
Weiße Spitze,2962,46.8718905,12.3579692
Flüela Wisshorn,3085,46.7622266,9.9666588
Gamsberg,2385,47.1352782,9.3738872
Geißstein,2363,47.3374452,12.4952799
Glanderspitze,2512,47.1485594,10.6616265
Große Arnspitze,2196,47.3973362,11.2223256
Großer Lafatscher,2696,47.3456604,11.4525659
Großer Rettenstein Kreuzgipfel,2362,47.3331104,12.2962942
Guffertspitze,2194,47.5462308,11.7886399
Haldensteiner Calanda,2805,46.8999105,9.4672775
Hausstock,3158,46.874446,9.0655497
Hintere Schwärze,3624,46.7734046,10.9146852
Hochiss,2299,47.4584505,11.7648128
Hochkarspitze,2482,47.4475006,11.3500655
Hochplatte,2082,47.5522729,10.8420527
Hochplattig,2768,47.353134,10.9883727
Karhorn,2416,47.2481561,10.1512026
Knittelkarspitze,2376,47.375872,10.651023
Kellenspitze,2238,47.4989941,10.6300956
Krottenkopf,2086,47.5443752,11.1914281
Kuchenspitze,3148,47.0485358,10.2300323
Kuhgrat,2122,47.1666716,9.5608307
Madrisahorn,2826,46.9311111,9.8722222
Monte Cassa del Ferro,3140,46.5786065,10.2016737
Monte Cristallo,3221,46.5754463,12.2005443
Monte Pettini,2932,46.5361065,10.2275001
Ruchen,2441,47.0701037,9.1441635
Muttler,3294,46.90066,10.37873
Namloser Wetterspitze,2553,47.3231897,10.6414282
Napfspitz - Cima Cadini,3144,47.0600953,12.0396129
Ortler - Ortles,3905,46.5090956,10.5449304
Parseierspitze,3036,47.1742592,10.4782868
Pfaffeneck,2539,47.1719444,10.0408333
Dürrenstein - Picco di Vallandro,2839,46.6725105,12.1855479
Tschima da Flix - Westgipfel,3301,46.521752,9.6995318
Piz Daint,2968,46.6187514,10.2909392
Piz Forbesch,3262,46.5203948,9.5591767
Piz Linard,3410,46.7989742,10.0714382
Piz Murtaröl,3180,46.5702756,10.2874958
Piz Ot,3246,46.5432535,9.810032
Piz Pisoc,3173,46.7444391,10.2794363
Piz S-chalambert Dadaint,3031,46.8008356,10.413325
Piz Segnas,3098,46.9079048,9.2396924
Piz Starlex,3075,46.6627506,10.3925516
Piz Tavrü,3168,46.6791611,10.2961046
Piz Vadret,3229,46.6870246,9.9626944
Punta Sorapiss,3205,46.5069444,12.2116667
Rietzer Grießkogel,2884,47.2458277,11.0589619
Ringelspitz,3247,46.8983333,9.3430556
Haunold - Rocca dei Baranci,2966,46.6887473,12.2778058
Säntis,2502,47.249444,9.343241
Schesaplana,2965,47.0538123,9.7074091
